name,price,stock,description,warranty_period,manufacturer_id,category_id
Sushi Rice,3.99,70,Short-grain sushi rice for perfect rolls.,2,46,96
Ice Cube Tray with Lid,10.99,44,Silicone tray for making ice cubes with a lid to prevent spills.,9,9,43
Vegetable and Cheese Quesadillas,6.99,89,Flour tortilla filled with cheese and a medley of vegetables.,6,82,89
Travel Laundry Bag,9.99,76,Compact laundry bag for travel use.,8,28,25
Survival Gear Kit,59.99,93,Essential survival gear kit for emergencies.,7,36,59
Bicycle Repair Kit,14.99,24,Essential tools for on-the-go bike maintenance.,11,78,19
Multi-Function Smartphone Holder,12.99,29,"Versatile holder that can be used on desks, cars, and more.",2,11,6
Peanut Butter Protein Balls,5.29,17,No-bake energy bites made with peanut butter and oats.,9,43,1
Electric Meat Grinder,89.99,33,Powerful grinder for making sausage and burgers at home.,8,11,50
Zucchini Noodles,3.99,22,"Spiralized zucchini, a healthy alternative to pasta.",11,14,69
Smartphone Car Mount with Wireless Charging,39.99,42,Secure phone mount that wirelessly charges your device while driving.,6,35,60
Slim Fit Chinos,54.99,34,Comfortable slim fit chinos for a polished look.,8,13,79
Zesty Garlic Hummus,3.99,43,Creamy chickpea dip infused with zesty garlic flavor.,5,76,90
Chocolate Dipped Fruit,5.99,30,"Fruits dipped in rich chocolate, perfect for desserts.",5,7,71
High-Quality Yoga Mat,34.99,16,Non-slip mat designed for yoga and fitness exercises.,8,62,73
Ice Cream,5.99,15,"Rich and creamy ice cream, available in various flavors.",4,75,89
Greek Yogurt,1.99,80,Creamy Greek yogurt packed with protein and probiotics.,9,37,44
Strawberry Banana Smoothie Pack,4.99,62,Frozen smoothie pack with strawberries and bananas.,5,13,9
Almond Butter Cups,3.29,75,"Rich chocolate cups filled with almond butter, a delicious treat.",6,31,43
Smart Plug,19.99,72,Wi-Fi enabled plug for controlling devices from your smartphone.,9,89,61
Air Fryer,79.99,95,Compact air fryer for healthier cooking.,6,70,42
Ginger Turmeric Latte Mix,5.29,95,A warming blend of ginger and turmeric for lattes.,11,7,98
Electric Opener for Jars and Bottles,24.99,89,Easily opens jar lids and bottle caps with one touch.,6,73,43
Chickpea Snack Mix,3.49,38,"Crunchy, seasoned chickpeas for a wholesome snack.",9,19,56
Gardening Gloves with Claws,24.99,31,Durable gloves with built-in claws for digging and planting.,12,74,28
Andouille Sausage,5.49,77,Spicy and smoky sausage great for grilling.,10,49,49
Honey Ginger Tea,2.99,53,"Soothing tea with honey and ginger, great for relaxation.",10,4,88
Cinnamon Sugar Donuts,4.99,77,Delicious mini donuts dusted with cinnamon sugar.,8,82,49
Comfort Flats,44.99,60,Everyday flats that combine comfort and style.,2,80,29
Herbal Tea Infuser,9.99,45,Infuser for brewing loose-leaf herbal teas easily.,8,20,82
Essential Oil Roller Bottles,19.99,9,Set of roller bottles for blending and applying essential oils.,2,83,18
Woven Storage Baskets,24.99,35,Stylish baskets for organizing various items in your home.,11,25,3
Leather Biker Jacket,129.99,36,Stylish black leather jacket featuring a zip-up front and multiple pockets.,9,79,10
Fishing Tackle Box,24.99,13,Organized tackle box for fishing gear.,8,37,96
BBQ Sauce,3.49,55,"A smoky barbecue sauce, ideal for grilling and dipping.",1,28,57
Garden Hose Reel,49.99,64,Compact hose reel to keep your garden tidy.,8,15,95
Peach Mango Smoothie,3.49,19,A refreshing blend of peaches and mangoes for a delicious smoothie.,7,76,89
Fitbit Activity Tracker,99.99,13,Advanced wristband that tracks daily activities and sleep.,3,75,45
Maple Bacon Potato Chips,2.89,30,Savory potato chips with a hint of maple sweetness and crispy bacon flavor.,8,55,61
Smartphone Tripod with Remote,29.99,65,Adjustable tripod with remote shutter for smartphones.,2,7,47
Magnetic Spice Jars,24.99,15,Convenient magnetic jars for easy spice storage.,5,76,95
Kids Tablet,129.99,77,Durable tablet designed for kids with parental controls.,5,63,30
Spicy Tuna Rolls,6.49,27,"The perfect seafood snack, ready to eat and delicious.",2,41,48
Electric Rice Cooker,39.99,48,Multi-function rice cooker for all types of rice recipes.,4,66,87
Herb Drying Rack,22.99,58,Mesh drying rack for preserving herbs and flowers.,3,46,35
Avocado Oil,8.49,52,"A healthy oil extracted from avocados, ideal for frying and salads.",7,78,71
Chickpea Pasta,4.19,100,Healthy pasta alternative made from chickpeas,2,72,97
Whole Wheat Pita Bread,2.79,11,"Soft and fluffy whole wheat pita bread, great for wraps.",5,83,56
Herb-Infused Olive Oil,8.99,67,Premium olive oil infused with herbs for enhanced flavor.,3,62,25
Weighted Blanket for Adults,59.99,95,A calming blanket that provides gentle pressure for relaxation.,12,60,66
Electric Razor,59.99,4,Rechargeable electric razor for a smooth shave.,11,19,72
Collapsible Folding Chair,29.99,42,Lightweight and portable chair for camping or events.,2,45,10
Graphic Sweatshirt,34.99,17,A comfortable sweatshirt featuring a bold graphic print.,1,12,62
Ground Cinnamon,1.99,20,Freshly ground cinnamon spice for baking or seasoning.,1,23,86
Olive Oil,7.99,18,"Extra virgin olive oil, ideal for cooking and salads.",11,49,51
LED Flashlight with Rechargeable Batteries,19.99,69,Bright flashlight with rechargeable batteries included.,4,89,97
Savory Trail Mix,4.29,80,"A blend of nuts, seeds, and spices for a healthy snack.",12,45,100
Electric Razor,59.99,55,Rechargeable electric razor for a smooth shave.,2,92,79
Organic Spinach,2.99,33,"Fresh organic spinach, great for salads or cooking.",1,45,11
Honey Roasted Peanuts,3.19,64,"Crunchy peanuts coated in honey, perfect for snacking.",7,49,25
Portable Phone Mug Holder,14.99,44,Convenient holder for drinks and phones while driving.,5,4,44
Tea Infuser Bottle,19.99,26,Bottle with infuser for brewing loose-leaf tea on the go.,5,92,64
High-Quality Yoga Mat,34.99,96,Non-slip mat designed for yoga and fitness exercises.,3,34,21
Stick Vacuums Cleaner,129.99,38,Cordless vacuum cleaner for quick clean-ups.,7,77,17
Glass Tea Pot,34.99,17,Elegant glass teapot for brewing loose tea.,11,33,52
Gaming Mousepad,19.99,85,Oversized gaming mousepad with smooth surface.,7,56,40
Ramen Noodles,0.99,94,Quick-cooking ramen for instant meals.,2,94,70
Organic Black Beans,1.29,39,"Versatile canned black beans, ready to add to any dish.",2,59,42
Mini Cordless Vacuum Cleaner,45.99,64,Handheld vacuum cleaner for quick and easy cleaning.,2,44,12
Pet Food Storage Container,24.99,54,Airtight container to keep pet food fresh.,7,25,80
Garlic Breadsticks,3.49,21,"Ready-to-bake garlic breadsticks, perfect with pasta dishes.",4,59,52
Pet Travel Bowl,10.99,6,Collapsible travel bowl for pets on the go.,2,7,22
Digital Drawing Tablet,79.99,14,Tablet for digital drawing and illustration work.,11,89,28
Mini Cordless Vacuum Cleaner,45.99,97,Handheld vacuum cleaner for quick and easy cleaning.,9,50,48
Vegetable Stir-Fry Kit,6.99,46,"A mix of fresh vegetables with a savory stir-fry sauce, ready to cook.",8,92,63
Mediterranean Flatbread,3.5,87,"Artisan bread topped with olives, feta, and herbs, perfect for sharing.",4,40,85
Almond Flour Pancake Mix,5.99,46,Gluten-free pancake mix made with almond flour.,6,42,63
Car Sunshade,19.99,24,Windshield sunshade for car interior protection.,6,42,48
Coconut Curry Chicken,9.99,91,"Tender chicken cooked in a rich coconut curry sauce, ready to heat and serve.",7,28,11
Car Vacuum Cleaner,39.99,16,Compact vacuum designed specifically for cleaning vehicles.,5,27,78
Picnic Blanket,29.99,83,Waterproof picnic blanket for outdoor fun.,7,35,53
Oven-Baked Chicken Tenders,6.99,21,"Crispy and juicy chicken tenders, perfect for dipping.",3,99,21
Chocolate Protein Powder,24.99,22,Rich chocolate protein powder for smoothies and baking.,4,18,31
Cat Scratching Post with Toys,44.99,30,Multi-level scratching post to keep your cat entertained.,7,73,83
Smartphone Car Mount with Wireless Charging,39.99,77,Secure phone mount that wirelessly charges your device while driving.,10,50,38
Butternut Squash Ravioli,6.29,77,"Delicate ravioli filled with roasted butternut squash and spices, perfect with a sage butter sauce.",9,46,86
Puffed Rice Cake,2.49,31,Low-calorie rice cake for snacks.,10,2,29
Compressed Towel Tablets,12.99,34,"Compact towels that expand when wet, ideal for travel.",6,18,82
Smart Doorbell,119.99,64,Wi-Fi enabled doorbell with HD camera and two-way audio.,1,38,83
Pecan Pie Filling,3.99,35,Sweet and nutty filling for delicious homemade pecan pie.,11,29,49
Inflatable Pool Float,29.99,70,Fun inflatable float for lounging in the pool or beach.,6,74,29
Mango Salsa,3.49,73,Fresh mango salsa with a hint of lime for a zesty topping.,2,77,27
Almond Flour,5.99,10,"Gluten-free almond flour, perfect for baking.",6,9,24
Magic Color-Changing Mug,14.99,76,Heat-sensitive mug that changes color when filled with hot liquid.,11,42,72
Hiking Gaiters,29.99,96,Protective gaiters to keep dirt and debris out of shoes during hikes.,6,41,84
Incense Holder,14.99,36,Ceramic incense holder for a calming atmosphere.,7,97,39
Kids' Craft Supplies Set,24.99,81,Variety pack of craft supplies for kids' projects.,12,85,92
Maple Cinnamon Granola Bars,3.49,85,Chewy granola bars with maple and cinnamon flavor.,10,22,48
Self-Stirring Mug,19.99,31,Automated stirring for your drinks with just a press of a button.,11,64,26
LED Flashing Pet Collar,14.99,77,Safety collar with flashing lights for pets during night walks.,10,27,75
Digital Photo Frame,79.99,94,Wi-Fi-enabled digital frame for displaying photos.,1,97,14
Artisan Pickles,2.49,86,Tangy and crunchy dill pickles.,4,36,25
Lightweight Travel Backpack,39.99,30,Compact and portable backpack for day trips and travel.,12,20,84
Handcrafted Wooden Coasters,19.99,82,Set of unique wooden coasters for drinks and decor.,3,80,17
Creamy Tomato Basil Soup,3.29,36,"Rich and creamy tomato basil soup, perfect with a grilled cheese.",8,53,38
Portable Solar Camp Shower,29.99,82,Portable solar shower for camping and outdoor use.,11,85,33
Cheese Stuffed Jalapenos,5.99,57,"Spicy jalapenos stuffed with cheese, ideal for appetizers.",12,32,47
Travel Jewelry Case,24.99,23,Portable case to organize and protect jewelry on trips.,7,69,70
Hand Crank Blender,18.99,31,Manual blender for smoothies and mixing ingredients on the go.,3,35,6
Stainless Steel BBQ Grill Set,49.99,85,Essential tools for outdoor barbecues including tongs and spatula.,9,39,4
Organic Granola Cereal,5.99,71,Crunchy granola made with organic oats,1,80,10
High-Speed Blender,99.99,42,Powerful blender for smoothies and soups.,3,3,26
Multifunctional Pocket Tool,19.99,67,Compact pocket tool with various built-in functions.,4,29,70
Chocolate Chip Cookie Dough,5.49,41,Ready-to-bake cookie dough packed with chocolate chips.,9,31,59
Honey Glazed Carrots,3.49,87,"Sweet and savory carrots glazed in honey, perfect as a side dish.",12,69,90
Electric Wine Opener,29.99,69,Rechargeable electric wine opener for effortless uncorking.,9,66,77
Chipotle Black Bean Salad,3.29,11,"A zesty salad with black beans, corn, and chipotle dressing.",11,3,68
Honey mustard chicken tenders,7.99,90,Golden crispy chicken tenders coated with honey mustard flavor.,3,84,11
Sweet Corn Fritters,4.49,42,Golden-brown fritters made with sweet corn.,2,56,46
Coconut Cream Pie,9.49,45,Delicious pie filled with coconut cream and topped with whipped cream.,2,79,26
Self-Adhesive Wallpaper,34.99,95,Peel and stick wallpaper for easy home decor changes.,1,19,47
Organic Quinoa Salad,5.99,81,A refreshing salad made with quinoa and seasonal veggies.,10,50,28
Children's Backpack,29.99,48,Stylish and functional backpack for school or trips.,10,36,1
Walnut Halves,8.49,45,Fresh walnut halves for baking or snacking.,10,68,21
Wireless Gaming Headset,89.99,22,Comfortable headset with surround sound for immersive gaming.,12,36,58
Chocolate Mint Thins,2.99,50,Mint-flavored chocolate candies for a refreshing treat.,10,7,18
Garlic and Herb Cream Cheese,3.49,93,Spreadable cream cheese with garlic and herbs.,9,94,46
Raspberry Vanilla Greek Yogurt,3.49,53,Creamy Greek yogurt infused with raspberry and vanilla flavors.,12,49,77
Black Bean & Corn Salad,3.99,40,"A fresh salad made with black beans, corn, and a zesty dressing, great for summer cookouts.",11,29,11
Mini Cordless Vacuum Cleaner,45.99,50,Handheld vacuum cleaner for quick and easy cleaning.,8,54,19
Travel Mug,18.99,72,Stainless steel travel mug with spill-proof lid.,10,94,49
Vegetable Chips,3.99,6,Crispy and crunchy snack made from assorted vegetables.,3,22,95
Oven Mitts,15.99,90,Silicone oven mitts for safe handling of hot cookware.,12,100,89
Luxe Velvet Blazer,89.99,48,Elevate your outfit with this sophisticated velvet blazer.,6,18,72
Portable Projector,199.99,30,Compact projector for movies and presentations on the go.,4,100,65
Portable Speaker Stand,39.99,80,Adjustable stand for portable speakers and devices.,2,75,40
Chipotle Seasoning Blend,2.49,71,A smoky blend of spices for grilling and roasting.,7,40,91
Vegan chocolate chip cookies,4.79,56,"Delicious soft cookies, dairy-free and egg-free, perfect for treats.",10,32,16
Portable Camping Shower,39.99,91,Convenient shower system for camping and outdoor activities.,2,15,4
Beef Taco Skillet,8.49,4,A convenient meal kit for making a delicious beef taco skillet at home.,8,79,63
Cheesy Broccoli Soup Mix,2.99,8,Just add water for a hearty cheese and broccoli soup in minutes.,1,83,90
Energy Bites,3.99,97,Healthy energy bites made with oats and natural sweeteners.,8,79,44
Fruit & Nut Trail Mix,4.99,46,"A blend of dried fruits and nuts, great for snacking.",6,52,62
Pepper Jack Cheese Sticks,2.49,56,"A spicy, flavorful cheese stick great for snacks or lunchboxes.",3,76,15
LED Canopy Lights,29.99,67,Energy-efficient lights to illuminate outdoor areas.,11,49,15
Dish Soap Dispenser,18.99,70,Stylish dish soap dispenser with sponge holder.,7,82,62
Plant Pot Drip Trays,9.99,49,Prevent water damage with drip trays for potted plants.,4,16,6
Compost Bin,29.99,19,Countertop compost bin for kitchen waste.,9,74,99
Chewy Granola Bars,3.49,35,Oats and honey bars with a chewy texture and nutty flavor.,11,98,95
Fitness Resistance Bands Kit,29.99,8,Set with various resistance bands for workouts.,3,25,45
Flavored Popcorn Mix,2.99,96,Popcorn tossed with sweet or savory flavors for a tasty snack.,3,94,14
Smartphone Projector Kit,24.99,16,DIY kit to convert your smartphone into a mini projector.,7,97,46
Sun Protection Clothing,44.99,57,UV-blocking clothing for outdoor activities.,6,45,67
Digital Food Scale,22.99,26,Precision digital scale for accurate cooking measurements.,8,32,68
Automatic Pet Feeder,69.99,41,Programmable pet feeder for scheduled meals.,7,2,1
LED Desk Lamp with USB Charging,39.99,61,Stylish desk lamp featuring a USB charging port.,8,34,93
Magnetic Phone Case,19.99,96,Stylish case with magnetic closure for smartphones.,5,36,64
Voice-Controlled Speaker,99.99,71,Smart speaker with Alexa and music streaming features.,1,1,57
Black Bean Soup,3.49,17,"Spicy and flavorful soup made with black beans, perfect as a meal or starter.",9,44,60
Foldable Electric Scooter,349.99,71,Compact electric scooter for commuting and short trips.,12,86,19
Fitness Tracker with Heart Rate Monitor,59.99,95,Wearable device to track fitness activities and heart rate.,7,80,5
Tabletop Fire Pit,79.99,62,Compact and stylish indoor/outdoor fire pit for ambiance.,11,3,54
Garlic Butter Shrimp,8.99,80,"Frozen shrimp sautéed in garlic butter, ready to thaw and serve over pasta or rice.",8,75,96
Compressible Packing Cubes,29.99,47,Organizational cubes for easy packing and travel.,3,7,7
Woven Storage Baskets,24.99,35,Stylish baskets for organizing various items in your home.,1,70,35
Wild Rice & Quinoa Mix,2.99,51,"Nutritious blend of wild rice and quinoa, perfect as a side dish.",1,12,73
Honey Mustard Dip,3.29,11,Sweet and tangy honey mustard dip for snacks.,1,33,19
Noise Reduction Headphones,39.99,7,Passive noise reduction headphones for focus.,4,81,26
Smart Thermostat,149.99,8,Wi-Fi enabled thermostat for energy-saving temperature control.,9,93,45
Graphic Hoodie,49.99,94,Bold graphic hoodie featuring a comfortable fit and soft fabric.,1,33,69
Oven-Baked Parmesan Zucchini,4.99,30,"Frozen zucchini slices coated in parmesan cheese, perfect for baking or frying.",1,25,81
Sketchbook,14.99,42,High-quality sketchbook for artists.,7,52,61
Organic Green Lentils,3.99,94,"Nutty flavored lentils, perfect for soups and salads.",10,15,87
Ice Pack,8.99,65,Reusable gel ice pack for injuries and cooling.,10,53,29
Sour Cream,3.49,30,"Tangy sour cream, perfect for dips and toppings.",2,44,59
Spicy Tuna Sushi Kit,8.99,70,Everything you need to make delicious spicy tuna rolls at home.,11,60,53
Beef Stew Meat,5.99,7,Tender beef chunks for slow-cooked stews.,8,25,11
Home Karaoke System,129.99,28,Complete karaoke system with microphones and speakers.,11,78,72
Asian Salad Mix,3.99,22,Fresh greens and veggies for a quick Asian-inspired salad.,8,45,99
Granola Cereal,4.49,24,"Crunchy granola with oats, nuts, and honey.",7,38,99
Vegetable Chips,3.99,88,Crispy and crunchy snack made from assorted vegetables.,4,11,99
Cheesy Cauliflower Bake,5.49,9,"A frozen cheesy bake made with cauliflower, great as a side dish or a vegetarian meal.",1,66,29
Beef Stroganoff Mix,5.49,47,Everything you need to create a hearty beef stroganoff.,6,32,94
Savory Rice Cakes,2.5,25,"Lightly salted rice cakes, perfect for a healthy snack.",9,14,95
Kids' Gardening Kit,24.99,77,Complete set designed for children to learn gardening.,5,93,6
Vegetarian Sausage Links,5.89,39,Plant-based sausage links with spices and herbs.,1,29,25
Non-Stick Grill Pan,39.99,84,Heavy-duty grill pan for indoor grilling.,5,50,24
Sweet Potato Tots,4.29,56,"Crispy sweet potato bites, delicious as a side or snack.",12,68,82
Organic Blueberries,5.49,76,Fresh organic blueberries perfect for snacking or baking.,11,53,40
Ramen Noodles,0.99,82,Quick-cooking ramen for instant meals.,6,52,100
Fitness Jump Box,69.99,17,Durable and adjustable jump box for effective workouts.,5,88,91
Wireless Gaming Headset,89.99,26,Comfortable headset with surround sound for immersive gaming.,9,98,90
Rustic Italian Breads,3.99,62,Freshly baked artisan bread with a crisp crust and soft center.,2,53,93
Pineapple Coconut Yogurt,4.49,86,Creamy yogurt blended with fresh pineapple and coconut pieces.,3,100,26
Smartphone Hand Grip,9.99,11,Sturdy grip to hold your phone securely while taking selfies.,12,40,86
Pet Grooming Scissors,16.99,62,Quality scissors designed for easy pet grooming.,7,44,74
Jennifer's Amazing Lip Balm Kit,22.99,29,DIY kit to make your own lip balms in various flavors.,9,16,76
Peanut Butter Protein Balls,5.29,85,No-bake energy bites made with peanut butter and oats.,9,95,73
Whole Chicken,12.99,51,"A whole free-range chicken, ready for roasting.",12,31,46
Air Fryer,79.99,53,Compact air fryer for healthier cooking.,6,100,35
Fresh Cilantro,1.49,12,"Bright and fragrant cilantro, great for garnishes.",6,71,38
Sun Protection Clothing,44.99,68,UV-blocking clothing for outdoor activities.,9,18,89
LED Strip Lights Kit,29.99,80,DIY LED strip lights with remote control.,4,15,74
Indestructible Dog Toy,15.99,45,Durable toy designed for heavy chewers.,3,79,33
Linen Trousers,44.99,64,Breathable linen trousers perfect for hot weather.,11,56,68
Honey Ginger Tea,2.99,63,"Soothing tea with honey and ginger, great for relaxation.",5,46,67
3D Night Light,19.99,8,Color-changing 3D night light for kids' rooms.,12,1,18
Stylish Wide-Leg Trousers,59.99,95,Fashionable wide-leg trousers for a chic silhouette.,8,35,43
Maxi Wrap Dress,49.99,47,A flowy maxi dress perfect for both casual and semi-formal occasions.,12,42,18
Mango Chunks,4.89,47,Frozen mango chunks for smoothies or snacking.,4,1,10
Frozen Acai Purée,6.99,79,Unsweetened frozen acai purée for smoothies and bowls.,2,94,52
Truffle Parmesan Fries,4.99,31,"Crispy fries tossed in truffle oil and parmesan, a gourmet snack.",8,67,25
Herbal Tea Sampler Box,29.99,27,Assorted collection of herbal teas for relaxation and wellness.,12,58,45
Adjustable Laptop Stand,29.99,69,Ergonomic stand for laptops to improve posture while working.,6,77,8
Pasta Sauce Mix,1.29,85,Just add water for a quick pasta sauce.,11,49,67
Relaxed Fit Henley Shirt,29.99,99,"A comfortable henley shirt made of soft cotton, perfect for casual outings.",10,32,18
Fresh Lemons,0.75,98,Citrusy lemons perfect for drinks and cooking.,7,92,92
Beef Sirloin Steak,15.99,19,"Juicy and tender beef sirloin steak, grass-fed.",8,43,72
Sculpting Kit,25.99,43,Complete sculpting tools for artists.,7,64,94
Garlic Herb Seasoning,1.99,85,A blend of herbs and garlic for seasoning meats and vegetables.,3,6,92
Chili Beans (canned),1.69,84,"Canned beans with chili sauce, perfect for chili dishes.",6,27,52
Ground Cinnamon,1.99,48,Freshly ground cinnamon spice for baking or seasoning.,8,85,32
Mesh Sports Leggings,39.99,75,Breathable mesh sports leggings for ultimate comfort.,3,100,61
Relaxed Fit Henley Shirt,29.99,26,"A comfortable henley shirt made of soft cotton, perfect for casual outings.",7,63,3
Almond Milk Yogurt,1.99,83,"Creamy yogurt made from almond milk, vegan-friendly.",3,21,96
Organic Coconut Yogurt,4.49,12,Dairy-free yogurt made from coconut milk.,4,71,11
Lemon Herb Chicken,7.49,54,Marinated chicken grilled with lemon and herbs.,6,84,33
Smartphone Tripod with Remote,29.99,95,Adjustable tripod with remote shutter for smartphones.,1,14,69
Desk Lamp with USB Port,29.99,98,Modern desk lamp that features a built-in USB charging port.,6,72,54
Portable Dog Water Bottle,18.99,34,Convenient water bottle for pets on the go.,11,90,53
Knitted Infinity Scarf,29.99,73,A warm knitted scarf to keep you cozy in winter.,9,92,19
Spinach and Ricotta Ravioli,6.49,6,Delicious ravioli filled with creamy ricotta and fresh spinach.,10,96,46
Mediterranean Couscous Salad,5.49,25,"Couscous salad with cucumbers, tomatoes, feta, and olives, ready to eat.",10,42,50
Outdoor Camping Hammock,29.99,19,Lightweight and durable hammock for relaxing in nature.,5,86,26
Black Bean Salsa,3.49,6,Spicy salsa made with black beans and tomatoes.,12,25,62
Silicone Baking Mats,19.99,19,Reusable silicone mats for non-stick baking.,1,15,70
Chocolate Chip Cookie Mix,2.49,98,Everything you need to bake delicious chocolate chip cookies.,11,5,76
Caramel Apple Chips,3.49,66,Crispy apple chips drizzled with caramel for a sweet treat.,7,72,17
Outdoor Portable Fire Pit,149.99,54,Compact fire pit for campfires and gatherings.,8,64,37
Travel Pillow with Memory Foam,29.99,61,Ergonomically designed neck pillow for comfortable travel.,1,25,11
Maple Bacon Potato Chips,2.89,22,Savory potato chips with a hint of maple sweetness and crispy bacon flavor.,8,62,2
Memory Foam Pillow,39.99,92,Ergonomic memory foam pillow for better sleep.,4,81,44
Floral Summer Dress,39.99,8,Light and breezy dress perfect for summer outings with a vibrant floral pattern.,5,34,8
Lemon Dill Salmon,9.99,97,"Salmon fillets seasoned with lemon and dill, perfect for grilling.",12,69,22
Peas (frozen),1.89,85,"Frozen green peas, a great addition to meals.",1,96,54
Barbecue Chicken Pizza,8.99,67,"Pizza topped with barbecue chicken, cheese, and red onions.",6,83,82
Red Lentils,1.99,86,Nutritious and quick-cooking red lentils.,2,44,55
Chopping Board,29.99,19,Reversible bamboo chopping board for food prep.,1,98,65
Instant Read Meat Thermometer,24.99,46,Fast and accurate thermometer for grilling and cooking.,9,65,9
Camera Tripod,49.99,26,Sturdy camera tripod for professional photography.,1,47,21
Dark Chocolate Bars,2.99,78,"Rich dark chocolate bars, perfect for a sweet treat.",11,49,54
Outdoor Adventure Backpack,59.99,31,Durable backpack for hiking or travel.,12,23,53
Multi-Port USB Hub,19.99,43,USB hub for expanding ports on computers and laptops.,8,65,72
Sports Bottle,15.99,54,BPA-free sports bottle with flip-top lid.,7,100,87
Fitness Activity Journal,14.99,81,Journal to record workouts and nutrition.,3,45,19
Garlic Naan Bread,3.99,52,"Soft and delicious garlic-infused flatbread, perfect for dipping.",6,89,57
Pet Travel Carrier,39.99,3,Comfortable carrier for small pets during travel.,3,95,67
Blackberry Jam,4.29,68,Delicious homemade style blackberry jam.,4,47,25
Ground Cinnamon,1.99,67,Freshly ground cinnamon spice for baking or seasoning.,8,74,36
Desk Organizer Set,29.99,68,Stylish desk set to keep your workspace tidy and organized.,11,40,47
Almond Flour Brownies,5.99,55,Deliciously rich brownies made with almond flour.,3,24,54
Rolling Cooler,59.99,52,Wheeled cooler for transporting drinks and snacks.,1,83,31
Electric Griddle with Removable Plates,59.99,75,Non-stick surface for easy cooking and cleaning.,6,46,36
Fitness Resistance Bands Set,34.99,55,Variety of bands suitable for all fitness levels.,2,54,82
Portable Bluetooth Speaker,49.99,88,Compact Bluetooth speaker with rich sound quality.,1,16,95
Portable Camping Stove,49.99,80,Compact camp stove for outdoor cooking.,9,1,85
Ultraviolet Phone Sanitizer,39.99,98,UV sanitizer that kills germs on your smartphone.,8,58,98
Fitness Resistance Bands,29.99,9,Set of resistance bands for home workouts.,8,50,17
Spinach and Cheese Quiche,5.49,46,Savory quiche loaded with spinach and cheese.,11,68,51
Quinoa,4.49,100,"Protein-rich quinoa, a great alternative to rice.",8,13,49
Garlic & Herb Goat Cheese,5.49,16,"Creamy goat cheese infused with herbs and garlic, perfect for spreading on crackers.",6,65,45
Hiking Water Bottle with Filter,29.99,38,8oz water bottle with built-in filter for clean drinking water.,5,27,93
Folding Table,59.99,60,Portable folding table for outdoor events.,7,72,60
Hibiscus Herbal Tea,3.29,99,"Floral and refreshing herbal tea, great hot or iced.",10,36,45
Hummus Trio Pack,5.49,16,"A variety pack of classic, roasted red pepper, and garlic hummus.",3,18,62
Italian Marinara Sauce,3.29,17,"Classic marinara sauce for pasta, pizza, or dipping.",8,66,98
Travel Luggage Scale,14.99,9,Digital scale to avoid overweight baggage fees.,6,54,82
Pasta (Linguine),1.89,62,"Thin, flat pasta perfect for various sauces.",5,75,75
Camera Lens Cleaning Kit,14.99,46,Complete cleaning kit for camera lenses.,6,16,47
Digital Food Scale,22.99,39,Precision digital scale for accurate cooking measurements.,11,82,39
Classic Caesar Salad Kit,4.99,50,Everything you need for a fresh and delicious Caesar salad.,3,84,13
Thai Red Curry Paste,3.99,74,Spicy and flavorful curry paste for authentic Thai dishes.,12,75,56
Folding Table,59.99,10,Portable folding table for outdoor events.,1,90,76
Handcrafted Wooden Coasters,19.99,59,Set of unique wooden coasters for drinks and decor.,10,97,76
Honey Sesame Cashews,4.49,73,Roasted cashews coated in honey and sesame seeds for a sweet treat.,2,78,39
Savory Quinoa Pudding,2.99,76,"A delicious savory quinoa pudding, great as a side dish.",10,100,34
Sweet Corn Fritters,4.49,26,Golden-brown fritters made with sweet corn.,1,4,53
Maple Bacon Popcorn,3.49,48,Savory popcorn flavored with maple syrup and bacon bits.,2,5,39
Professional Chef Knife,89.99,61,High-carbon stainless steel chef knife for precision cutting.,9,27,7
Wireless Smart Plug,19.99,26,Control home appliances remotely using your smartphone app.,4,42,41
Almond Coconut Granola,3.99,53,Crunchy granola with almonds and coconut.,9,57,26
Wine Glasses,29.99,40,Set of elegant wine glasses for special occasions.,11,57,36
Hiking Boots,79.99,42,Comfortable hiking boots for outdoor adventures.,8,38,18
Habanero Hot Sauce,3.79,87,Fiery hot sauce made with fresh habaneros and spices.,3,61,43
Crispy Chickpeas,2.99,15,Roasted chickpeas seasoned for a crunchy snack.,11,95,22
Almond Butter Granola Bars,4.99,56,"Crunchy granola bars made with almond butter, oats, and honey, perfect for on-the-go snacking.",11,80,11
Smartphone Projector,29.99,94,DIY projector that magnifies your smartphone screen for movie nights.,12,75,25
Mobile Workbench,199.99,23,Sturdy mobile workbench with storage options.,5,2,95
Portable Laptop Table,39.99,44,Foldable table for working with laptops anywhere.,7,42,53
Pasta Salad Kit,5.99,28,All-in-one kit for making pasta salad easily.,2,89,87
Wireless Gaming Mouse,39.99,40,Ergonomic mouse designed for gamers with high DPI.,10,46,89
Sweetened Condensed Milk,1.89,55,Rich and creamy milk perfect for baking or desserts.,7,99,49
Solar Garden Lights,39.99,27,Energy-efficient lights that charge during the day and illuminate at night.,5,26,50
Toasted Coconut Granola,4.99,84,"Crunchy granola with toasted coconut flakes, perfect for breakfast or snacks.",11,75,54
Ultra-Thin Laptop Sleeve,19.99,51,Sleek and protective sleeve for laptops and tablets.,4,23,100
Dish Rack,24.99,44,Collapsible dish rack for kitchen countertop use.,11,60,66
